Ta,rh,COD,th0,dsw,dni,dhi,C01,C02,C03,C04,C05,C06
303.0,0.5,30.0,15.0,269.9395665218477,2.98002492675849,267.06108348210654,56.82471503904111,147.643731236834,79.55203895949695,0.0122382807405907,6.355738681170009,4.2455601270646905
258.0,0.1,0.25,60.0,446.984490228174,415.5297667160574,239.21960687014516,7.563640575736107,8.866858674756239,4.820735048739937,0.1623475803407199,1.5360332378558583,0.356250927684377
248.0,0.5,0.4,15.0,1039.8514534058158,621.4243466890897,439.60162785401263,9.029906053259324,12.8750794588109,8.691856094401526,0.235036319889775,2.8164583163247747,0.6313915455262663
263.0,0.8,30.0,30.0,248.4734917920109,4.982142165254145,244.15883011163515,52.06071384685307,140.1530877227487,78.69911926315903,0.1976887046042586,5.955241275677883,4.4348569981483825
258.0,0.3,10.0,60.0,205.8591102555445,5.658936864680228,203.02964182320437,18.267179940494778,27.72517673782597,9.2988098897291,0.1941399765742019,2.732128996387126,0.6277551394295859
278.0,0.3,40.0,15.0,228.8499608061952,2.5531256832708524,226.38383077096196,60.83808165884755,163.96449225104908,90.99974613061352,0.1774906980493878,6.431847301486181,4.5958354521329685
248.0,0.3,0.4,15.0,1046.3328532645298,626.6080772194009,441.0759285169756,9.020108409035316,12.828372866574336,8.667041895818468,0.3392568958836705,2.80275238442872,0.6281194916103954
243.0,0.7,0.1,45.0,721.4125915677613,674.7679591446375,244.2795919291808,7.839944926386424,9.830330715733767,6.404906217608663,0.186179997216391,2.074201498216127,0.4622660952991099
268.0,0.4,0.63,15.0,994.8644257201476,498.532087461613,513.3194072071749,9.699655158467134,13.573244219457118,8.852222563906487,0.0302714302474043,2.862673627510996,0.6408328974694752
293.0,0.8,50.0,15.0,177.92617938835036,1.998178578366764,175.99608709396836,65.25565185153023,169.75145051186027,90.51448096492864,0.0150377087776727,6.522809523306967,4.355459466970756
273.0,0.7,0.63,15.0,971.3227040506906,483.410725609166,504.38379947965893,9.685239930022645,13.748054155874373,8.973786931188169,0.0056035642303098,2.8614820967653607,0.6345890167214598
283.0,0.6,0.16,45.0,653.0670697755891,568.501192573751,251.07602139405043,8.083482436401452,9.869337503456649,6.443204123532144,0.0031762361916466,2.0859958739642375,0.4679847218231679
298.0,0.7,15.0,60.0,146.66511236823976,3.878764271040643,144.72573023271946,27.714928713408284,67.62417475992464,37.934731649560646,0.0073754343811321,3.6412983564813337,2.8442071461580056
288.0,0.7,40.0,0.0,232.9175295467167,0.0202864992694634,232.89724304744723,63.46525194352827,167.55917254780238,90.9151660502469,0.0184914895221166,6.655909428317912,4.529731686247479
